               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094291,             0.03146,                   0,           0.0033333,                 0.6,             0.11658,            0.028846,            0.038064,            0.024252,                   0,              0.0847,              0.0017,              0.0017
                   1,            0.088291,            0.031047,                   0,           0.0033333,                 0.6,            0.031277,            0.010674,            0.039494,            0.023606,                   0,            0.068431,           0.0034307,           0.0034307
                   2,            0.079428,            0.030114,                   0,           0.0033333,                 0.8,            0.053711,            0.012509,            0.035495,            0.021303,                   0,             0.05209,           0.0050901,           0.0050901
                   3,            0.086441,            0.032721,                   0,           0.0033333,                 0.8,            0.053711,            0.012509,            0.035495,            0.021303,                   0,            0.035678,           0.0066783,           0.0066783
                   4,            0.083537,            0.029209,                   0,           0.0033333,                   1,            0.043567,           0.0067439,             0.03228,            0.019386,                   0,            0.019195,           0.0081951,           0.0081951
                   5,            0.076565,            0.033061,                   0,           0.0033333,                   1,            0.043567,           0.0067439,             0.03228,            0.019386,                   0,             0.00901,             0.00901,             0.00901
                   6,            0.069513,            0.027654,                   0,           0.0033333,                   1,            0.058215,            0.020668,            0.034081,            0.016828,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.071765,            0.028629,                   0,           0.0033333,                   1,            0.096487,            0.020123,            0.033662,            0.013507,                   0,            0.008812,            0.008812,            0.008812
                   8,             0.06068,            0.026713,                   0,           0.0033333,                   1,            0.096487,            0.020123,            0.033662,            0.013507,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.068929,            0.026604,                   0,           0.0078615,                 0.8,             0.10567,            0.036104,            0.028022,            0.014076,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.067595,            0.030208,                   0,           0.0078615,                 0.8,             0.10567,            0.036104,            0.028022,            0.014076,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.056132,            0.025949,                   0,           0.0033333,                   1,            0.048733,            0.017219,            0.025422,            0.012233,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.055736,            0.026548,                   0,           0.0033333,                   1,            0.048733,            0.017219,            0.025422,            0.012233,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.061756,            0.025696,                   0,           0.0033333,                   1,            0.057407,            0.015618,            0.026316,            0.011225,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.053917,            0.024987,                   0,           0.0033333,                   1,            0.057407,            0.015618,            0.026316,            0.011225,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.047205,            0.024307,                   0,           0.0033333,                   1,            0.084562,            0.028495,            0.027939,             0.01047,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.055976,            0.027353,                   0,            0.054589,                 0.8,             0.32788,             0.19657,            0.019705,            0.010046,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.052568,            0.023969,                   0,            0.054589,                 0.8,             0.32788,             0.19657,            0.019705,            0.010046,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.05151,            0.023904,                   0,             0.50743,             0.20892,              0.3811,             0.11889,            0.022341,           0.0093339,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.047951,            0.022199,                   0,             0.50743,             0.20892,              0.3811,             0.11889,            0.022341,           0.0093339,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.058502,            0.023436,                   0,            0.038164,                   1,            0.067554,            0.027564,            0.024294,            0.008989,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.050772,            0.023093,                   0,            0.038164,                   1,            0.067554,            0.027564,            0.024294,            0.008989,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.057978,              0.0231,                   0,            0.028659,                 0.4,            0.059475,            0.016656,            0.025862,           0.0092089,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.051451,            0.026733,                   0,               0.165,             0.39559,             0.27093,            0.061577,            0.021097,           0.0094739,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.047158,            0.021138,                   0,               0.165,             0.39559,             0.27093,            0.061577,            0.021097,           0.0094739,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.047563,            0.024254,                   0,             0.10519,                 0.2,             0.26346,            0.076789,            0.019788,           0.0096558,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.047153,            0.019609,                   0,             0.10519,                 0.2,             0.26346,            0.076789,            0.019788,           0.0096558,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.045057,            0.023566,                   0,             0.11059,                 0.2,             0.16062,            0.059384,            0.019956,           0.0092809,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.048213,            0.022548,                   0,             0.11059,                 0.2,             0.16062,            0.059384,            0.019956,           0.0092809,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.047463,            0.023987,                   0,             0.23053,                 0.2,             0.28527,            0.085773,            0.018694,           0.0094727,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.047522,            0.023997,                   0,             0.23053,                 0.2,             0.28527,            0.085773,            0.018694,           0.0094727,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.046395,            0.018227,                   0,             0.13991,                 0.2,             0.26182,            0.086192,            0.020572,            0.009066,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.045864,            0.026613,                   0,             0.20838,                 0.2,             0.26827,            0.078169,            0.019374,           0.0085727,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.040217,            0.021454,                   0,             0.20838,                 0.2,             0.26827,            0.078169,            0.019374,           0.0085727,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.041557,            0.019847,                   0,             0.20611,                 0.2,             0.29226,             0.08619,            0.019988,           0.0082771,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.051829,            0.023386,                   0,             0.20611,                 0.2,             0.29226,             0.08619,            0.019988,           0.0082771,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.044464,            0.020771,                   0,             0.38719,                 0.2,             0.27758,                0.09,            0.020874,           0.0078013,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.040396,            0.022719,                   0,             0.38719,                 0.2,             0.27758,                0.09,            0.020874,           0.0078013,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.048928,            0.022487,                   0,             0.23689,                 0.2,             0.20688,            0.084046,            0.022336,           0.0074842,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.041871,             0.01792,                   0,             0.27315,                 0.2,             0.29721,            0.057446,            0.023829,           0.0073548,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.041699,            0.019503,                   0,             0.27315,                 0.2,             0.29721,            0.057446,            0.023829,           0.0073548,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.040161,            0.020201,                   0,             0.21229,                 0.6,             0.37908,            0.085783,            0.022658,           0.0071119,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.043521,            0.018972,                   0,             0.21229,                 0.6,             0.37908,            0.085783,            0.022658,           0.0071119,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.044037,            0.023277,                   0,             0.36054,                 0.2,             0.35963,            0.094548,            0.018161,           0.0080379,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.040559,            0.023109,                   0,             0.36054,                 0.2,             0.35963,            0.094548,            0.018161,           0.0080379,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.041937,            0.020985,                   0,             0.19691,                 0.4,             0.39135,             0.12033,            0.016242,           0.0081092,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.050679,            0.023259,                   0,             0.19691,                 0.4,             0.39135,             0.12033,            0.016242,           0.0081092,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.038456,            0.019365,                   0,             0.26149,                 0.6,             0.21133,            0.075631,            0.017775,           0.0081183,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.036153,            0.023813,                   0,             0.31198,                 0.4,             0.35853,            0.093751,            0.017762,           0.0079804,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.040513,            0.021467,                   0,             0.31198,                 0.4,             0.35853,            0.093751,            0.017762,           0.0079804,                   0,            0.000496,            0.000496,            0.000496
